Instructor ID,Course ID,Semester,Year,Broader,Level,Size,Layout,L,Ind,CG,WG,OG,S_Anq,SQ,WC,PRD,SP,TQ,S_W,S_O,Lec,RTW,FUP,T_PQ,CQ,T_ANQ,MG,ONE_O_ONE,DV,ADMIN,T_W,T_O,Cluster,Bcluster
1,613,NA,NA,Computer,Cross-listed,Large,Fixed,60.5,0,0,0,39.5,0,2.6,2.6,0,0,0,13,2.6,60.5,66,13,13,2.6,0,24,0,0,10.5,5,0,4,Transitioning
2,614,NA,NA,Biological,Cross-listed,Large,Fixed,80,0,0,0,63.3,60,3.3,0,0,0,0,0,0,23.3,0,53.3,70,0,3.3,50,0,0,3.3,0,0,3,Transitioning
3,615,NA,NA,Biological,Cross-listed,Large,Fixed,80,16,4,0,32,28,0,0,0,0,0,0,0,60,0,60,4,4,0,32,32,0,0,4,0,7,High engagement
4,616,NA,NA,Physical,Cross-listed,Large,Fixed,90,5,9.5,0,19,19,9.5,0,0,0,0,0,5,76,33,24,14,14,9.5,14,14,19,9.5,9.5,0,4,Transitioning
5,617,NA,NA,Missing,Cross-listed,Large,Fixed,71,22,0,0,0,2,0.4,0,0,0,0,3,1.5,11.5,0,53,8,0,2,13.7,0,4.8,0,6,0,1,Mostly lecture
6,NA,NA,NA,Biological,100,Large,Fixed,62.5,0,0,20.8,25,50,0,4.2,0,0,0,0,16.7,66.7,0,33.3,45.8,0,8.3,8.3,8.3,8.3,16.7,8.3,0,7,High engagement
6,NA,NA,NA,Biological,100,Large,Fixed,62.5,0,0,25,29.2,50,0,0,0,0,0,0,16.7,62.5,0,54.2,54.2,0,16.7,16.7,8.3,8.3,12.5,4.2,0,7,High engagement
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,95.2,4.8,0,0,0,0,0,0,0,0,0,0,1,Mostly lecture
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,84.6,19.2,0,0,0,0,0,0,0,11.5,0,0,1,Mostly lecture
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,8.3,0,0,0,0,0,0,0,100,16.7,0,8.3,0,0,0,0,0,0,0,0,1,Mostly lecture
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,7.7,0,0,0,0,0,0,0,100,23.1,0,7.7,0,0,0,0,0,3.8,0,0,1,Mostly lecture
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,4,0,0,0,0,0,0,0,96,16,0,12,0,4,0,0,0,8,0,0,1,Mostly lecture
7,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,8.3,4.2,0,0,0,0,0,0,100,50,0,8.3,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,3.3,0,0,0,0,0,0,93.3,76.7,0,0,0,3.3,0,0,10,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,83.9,77.4,0,0,0,0,0,0,0,22.6,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,3.1,0,0,0,0,3.1,0,100,71.9,0,3.1,0,3.1,0,0,9.4,0,3.1,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,17.6,0,0,0,0,0,2.9,0,85.3,70.6,0,17.6,0,0,0,0,2.9,17.6,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,3.8,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,97.3,0,0,0,0,0,10.8,0,0,0,0,2.7,0,97.3,78.4,2.7,2.7,0,10.8,0,0,10.8,2.7,2.7,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,4.2,0,0,0,0,0,0,100,100,0,0,0,4.2,0,0,0,4.2,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,2.6,0,0,0,0,0,2.6,0,100,97.4,0,5.3,0,0,0,0,7.9,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,5,10,0,0,0,0,0,0,100,100,0,5,0,5,0,0,5,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,97.5,0,0,0,0,15,2.5,0,0,0,0,2.5,0,92.5,92.5,0,15,0,2.5,0,0,10,0,2.5,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,90,5,0,0,0,0,10,0,0,0,0,10,0,85,90,0,5,0,10,0,0,20,0,10,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,95.7,0,0,0,0,0,0,0,4.3,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,100,16.7,0,0,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,88.5,19.2,0,0,0,0,0,0,0,15.4,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,100,13,0,0,0,0,0,0,8.7,4.3,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,3.8,0,0,0,0,0,0,0,100,23.1,0,3.8,0,0,0,0,0,3.8,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,24,0,0,0,0,0,0,0,100,8,0,24,0,0,0,0,0,4,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,90,0,0,0,0,0,30,0,0,0,0,20,0,90,20,0,0,0,30,0,0,0,0,10,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,20,8,0,4,0,0,0,0,100,20,0,20,0,12,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,33.3,11.1,0,0,0,22.2,44.4,0,0,0,0,0,0,33.3,33.3,0,33.3,0,44.4,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,8.3,0,0,0,0,0,0,8.3,100,33.3,4.2,8.3,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,92,40,0,0,0,0,0,0,4,12,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,4.2,4.2,0,0,0,0,0,0,100,50,0,4.2,0,0,0,0,0,0,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,20.8,0,0,0,0,0,0,0,95.8,41.7,0,20.8,0,0,0,0,0,4.2,0,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,4.5,0,0,0,13.6,13.6,0,0,0,0,0,0,100,45.5,0,13.6,0,13.6,0,0,0,0,4.5,0,1,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,4.2,0,0,0,0,0,0,95.8,95.8,0,0,4.2,4.2,0,0,0,8.3,0,0,2,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,4.2,4.2,0,0,0,0,0,0,100,95.8,0,8.3,4.2,0,0,0,4.2,0,0,0,2,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,3.8,15.4,0,0,0,0,0,0,100,92.3,0,3.8,3.8,7.7,0,0,3.8,3.8,0,0,2,Mostly lecture
8,NA,NA,NA,Chemical,100,Large,Fixed,97.1,0,0,2.9,8.6,11.4,2.9,0,0,0,0,5.7,0,97.1,77.1,0,17.1,0,0,0,0,5.7,0,5.7,0,3,Transitioning
8,NA,NA,NA,Chemical,100,Large,Fixed,97.1,0,0,0,26.5,8.8,8.8,0,0,0,0,8.8,0,94.1,85.3,8.8,29.4,0,2.9,0,0,0,5.9,8.8,0,3,Transitioning
8,NA,NA,NA,Chemical,100,Large,Fixed,83.8,29.7,5.4,0,0,45.9,5.4,0,0,0,0,5.4,0,83.8,35.1,10.8,56.8,16.2,5.4,5.4,5.4,0,0,0,0,4,Transitioning
8,NA,NA,NA,Chemical,100,Large,Fixed,91.9,29.7,5.4,0,0,45.9,5.4,0,0,0,0,5.4,0,91.9,35.1,10.8,59.5,13.5,5.4,5.4,2.7,0,0,0,0,4,Transitioning
9,NA,NA,NA,Chemical,100,Large,Fixed,97.5,5,0,0,0,37.5,2.5,0,0,0,0,2.5,0,95,72.5,0,40,0,0,0,0,15,0,2.5,0,1,Mostly lecture
9,NA,NA,NA,Chemical,100,Large,Fixed,95.2,0,4.8,0,9.5,38.1,0,0,4.8,0,0,4.8,0,95.2,4.8,9.5,42.9,9.5,0,0,0,0,19,4.8,0,4,Transitioning
10,618,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,24,12,0,0,0,0,0,0,100,100,0,24,0,12,0,0,0,0,0,0,1,Mostly lecture
11,619,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,16,0,0,0,0,0,0,100,92,0,0,0,16,0,0,0,0,0,0,1,Mostly lecture
12,NA,NA,NA,Chemical,100,Large,Fixed,100,20.8,0,0,4.2,12.5,8.3,0,0,0,0,4.2,0,100,8.3,8.3,20.8,0,8.3,0,0,0,0,4.2,0,3,Transitioning
12,NA,NA,NA,Chemical,100,Large,Fixed,95.2,0,4.8,0,9.5,38.1,0,0,4.8,0,0,4.8,0,95.2,4.8,9.5,42.9,9.5,0,0,0,0,19,4.8,0,4,Transitioning
13,320,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,8.3,0,0,0,0,4.2,0,100,95.8,0,0,0,8.3,0,0,0,0,4.2,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,8,4,0,0,0,0,0,0,96,80,0,8,0,0,0,0,0,12,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,96,0,0,0,0,0,16,0,0,0,0,0,4,92,80,0,0,0,16,0,0,0,4,4,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,96,4,0,0,0,4,8,0,0,0,0,0,8,92,80,0,12,0,8,0,0,0,4,8,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,5,0,0,0,0,0,0,100,100,0,0,0,5,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,93.3,0,0,0,0,0,20,0,0,0,0,0,0,93.3,86.7,0,6.7,0,20,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,16,0,0,0,0,0,0,100,92,0,0,0,16,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,28,4,0,0,0,0,0,0,96,76,0,24,0,4,0,0,0,8,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,0,8.3,0,0,0,0,0,4.2,100,95.8,0,0,0,8.3,0,0,0,0,4.2,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,4.8,4.8,0,0,0,0,0,0,100,100,0,4.8,0,4.8,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,0,0,0,0,4.8,4.8,0,4.8,0,0,0,0,100,95.2,0,9.5,0,4.8,0,0,0,0,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,100,5,0,0,0,10,0,0,0,0,0,0,0,100,95,0,10,0,0,0,0,0,5,0,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,90,5,0,0,0,5,20,0,0,5,0,0,5,85,90,0,5,0,20,0,0,0,5,5,0,1,Mostly lecture
14,NA,NA,NA,Chemical,100,Large,Fixed,80,16,0,0,0,0,16,0,0,0,0,0,8,84,76,0,16,0,16,0,0,0,12,8,0,1,Mostly lecture
