"Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"Berkeley",1800,NA,NA,-0.435,0.505
"Berkeley",1801,NA,NA,-0.453,0.493
"Berkeley",1802,NA,NA,-0.46,0.486
"Berkeley",1803,NA,NA,-0.493,0.489
"Berkeley",1804,NA,NA,-0.536,0.483
"Berkeley",1805,NA,NA,-0.541,0.475
"Berkeley",1806,NA,NA,-0.59,0.468
"Berkeley",1807,NA,NA,-0.695,0.461
"Berkeley",1808,NA,NA,-0.763,0.453
"Berkeley",1809,NA,NA,-0.818,0.451
"Berkeley",1810,NA,NA,-0.842,0.437
"Berkeley",1811,NA,NA,-0.912,0.406
"Berkeley",1812,NA,NA,-0.963,0.395
"Berkeley",1813,NA,NA,-1.015,0.389
"Berkeley",1814,NA,NA,-0.949,0.369
"Berkeley",1815,NA,NA,-0.935,0.368
"Berkeley",1816,NA,NA,-0.918,0.361
"Berkeley",1817,NA,NA,-0.802,0.33
"Berkeley",1818,NA,NA,-0.743,0.349
"Berkeley",1819,NA,NA,-0.703,0.382
"Berkeley",1820,NA,NA,-0.625,0.395
"Berkeley",1821,NA,NA,-0.527,0.363
"Berkeley",1822,NA,NA,-0.392,0.339
"Berkeley",1823,NA,NA,-0.332,0.351
"Berkeley",1824,NA,NA,-0.321,0.343
"Berkeley",1825,NA,NA,-0.278,0.344
"Berkeley",1826,NA,NA,-0.27,0.295
"Berkeley",1827,NA,NA,-0.378,0.284
"Berkeley",1828,NA,NA,-0.398,0.254
"Berkeley",1829,NA,NA,-0.388,0.243
"Berkeley",1830,NA,NA,-0.429,0.247
"Berkeley",1831,NA,NA,-0.506,0.247
"Berkeley",1832,NA,NA,-0.625,0.257
"Berkeley",1833,NA,NA,-0.689,0.246
"Berkeley",1834,NA,NA,-0.667,0.224
"Berkeley",1835,NA,NA,-0.689,0.22
"Berkeley",1836,NA,NA,-0.727,0.221
"Berkeley",1837,NA,NA,-0.662,0.218
"Berkeley",1838,NA,NA,-0.612,0.222
"Berkeley",1839,NA,NA,-0.613,0.256
"Berkeley",1840,NA,NA,-0.638,0.274
"Berkeley",1841,NA,NA,-0.542,0.267
"Berkeley",1842,NA,NA,-0.472,0.282
"Berkeley",1843,NA,NA,-0.407,0.269
"Berkeley",1844,NA,NA,-0.402,0.285
"Berkeley",1845,NA,NA,-0.39,0.285
"Berkeley",1846,NA,NA,-0.351,0.284
"Berkeley",1847,NA,NA,-0.346,0.28
"Berkeley",1848,NA,NA,-0.362,0.273
"Berkeley",1849,NA,NA,-0.357,0.26
"Berkeley",1850,NA,NA,-0.29,0.244
"Berkeley",1851,NA,NA,-0.321,0.239
"Berkeley",1852,NA,NA,-0.372,0.228
"Berkeley",1853,NA,NA,-0.363,0.226
"Berkeley",1854,NA,NA,-0.351,0.228
"Berkeley",1855,NA,NA,-0.348,0.216
"Berkeley",1856,NA,NA,-0.374,0.203
"Berkeley",1857,NA,NA,-0.418,0.187
"Berkeley",1858,NA,NA,-0.42,0.186
"Berkeley",1859,NA,NA,-0.427,0.178
"Berkeley",1860,NA,NA,-0.473,0.172
"Berkeley",1861,NA,NA,-0.458,0.154
"Berkeley",1862,NA,NA,-0.412,0.149
"Berkeley",1863,NA,NA,-0.393,0.145
"Berkeley",1864,NA,NA,-0.373,0.141
"Berkeley",1865,NA,NA,-0.344,0.148
"Berkeley",1866,NA,NA,-0.317,0.147
"Berkeley",1867,NA,NA,-0.282,0.145
"Berkeley",1868,NA,NA,-0.269,0.145
"Berkeley",1869,NA,NA,-0.241,0.149
"Berkeley",1870,NA,NA,-0.233,0.149
"Berkeley",1871,NA,NA,-0.255,0.146
"Berkeley",1872,NA,NA,-0.271,0.142
"Berkeley",1873,NA,NA,-0.247,0.14
"Berkeley",1874,NA,NA,-0.248,0.132
"Berkeley",1875,NA,NA,-0.271,0.128
"Berkeley",1876,NA,NA,-0.252,0.124
"Berkeley",1877,NA,NA,-0.235,0.12
"Berkeley",1878,NA,NA,-0.257,0.115
"Berkeley",1879,NA,NA,-0.297,0.119
"Berkeley",1880,NA,NA,-0.321,0.124
"Berkeley",1881,NA,NA,-0.314,0.123
"Berkeley",1882,NA,NA,-0.325,0.117
"Berkeley",1883,NA,NA,-0.376,0.108
"Berkeley",1884,NA,NA,-0.373,0.111
"Berkeley",1885,NA,NA,-0.368,0.11
"Berkeley",1886,NA,NA,-0.386,0.109
"Berkeley",1887,NA,NA,-0.397,0.107
"Berkeley",1888,NA,NA,-0.394,0.108
"Berkeley",1889,NA,NA,-0.364,0.104
"Berkeley",1890,NA,NA,-0.342,0.102
"Berkeley",1891,NA,NA,-0.323,0.099
"Berkeley",1892,NA,NA,-0.298,0.1
"Berkeley",1893,NA,NA,-0.273,0.107
"Berkeley",1894,NA,NA,-0.286,0.107
"Berkeley",1895,NA,NA,-0.251,0.106
"Berkeley",1896,NA,NA,-0.201,0.104
"Berkeley",1897,NA,NA,-0.176,0.104
"Berkeley",1898,NA,NA,-0.153,0.104
"Berkeley",1899,NA,NA,-0.174,0.106
"Berkeley",1900,NA,NA,-0.171,0.108
"Berkeley",1901,NA,NA,-0.162,0.109
"Berkeley",1902,NA,NA,-0.177,0.108
"Berkeley",1903,NA,NA,-0.199,0.104
"Berkeley",1904,NA,NA,-0.223,0.105
"Berkeley",1905,NA,NA,-0.241,0.107
"Berkeley",1906,NA,NA,-0.294,0.106
"Berkeley",1907,NA,NA,-0.312,0.105
"Berkeley",1908,NA,NA,-0.328,0.103
"Berkeley",1909,NA,NA,-0.281,0.101
"Berkeley",1910,NA,NA,-0.247,0.099
"Berkeley",1911,NA,NA,-0.243,0.097
"Berkeley",1912,NA,NA,-0.257,0.1
"Berkeley",1913,NA,NA,-0.268,0.1
"Berkeley",1914,NA,NA,-0.257,0.097
"Berkeley",1915,NA,NA,-0.249,0.095
"Berkeley",1916,NA,NA,-0.214,0.096
"Berkeley",1917,NA,NA,-0.201,0.096
"Berkeley",1918,NA,NA,-0.176,0.096
"Berkeley",1919,NA,NA,-0.182,0.097
"Berkeley",1920,NA,NA,-0.193,0.097
"Berkeley",1921,NA,NA,-0.167,0.098
"Berkeley",1922,NA,NA,-0.128,0.096
"Berkeley",1923,NA,NA,-0.075,0.097
"Berkeley",1924,NA,NA,-0.064,0.098
"Berkeley",1925,NA,NA,-0.065,0.1
"Berkeley",1926,NA,NA,-0.05,0.1
"Berkeley",1927,NA,NA,-0.02,0.099
"Berkeley",1928,NA,NA,-0.018,0.099
"Berkeley",1929,NA,NA,-0.026,0.1
"Berkeley",1930,NA,NA,-0.014,0.101
"Berkeley",1931,NA,NA,-0.047,0.098
"Berkeley",1932,NA,NA,-0.035,0.096
"Berkeley",1933,NA,NA,-0.017,0.093
"Berkeley",1934,NA,NA,0.02,0.092
"Berkeley",1935,NA,NA,0.053,0.089
"Berkeley",1936,NA,NA,0.063,0.085
"Berkeley",1937,NA,NA,0.048,0.081
"Berkeley",1938,NA,NA,0.073,0.079
"Berkeley",1939,NA,NA,0.113,0.076
"Berkeley",1940,NA,NA,0.113,0.072
"Berkeley",1941,NA,NA,0.134,0.071
"Berkeley",1942,NA,NA,0.134,0.069
"Berkeley",1943,NA,NA,0.127,0.07
"Berkeley",1944,NA,NA,0.111,0.068
"Berkeley",1945,NA,NA,0.072,0.066
"Berkeley",1946,NA,NA,0.035,0.066
"Berkeley",1947,NA,NA,0.042,0.064
"Berkeley",1948,NA,NA,0.045,0.063
"Berkeley",1949,NA,NA,0.013,0.062
"Berkeley",1950,NA,NA,0.01,0.058
"Berkeley",1951,NA,NA,-0.017,0.054
"Berkeley",1952,NA,NA,-0.04,0.047
"Berkeley",1953,NA,NA,-0.04,0.043
"Berkeley",1954,NA,NA,-0.032,0.038
"Berkeley",1955,NA,NA,-0.022,0.035
"Berkeley",1956,NA,NA,0.012,0.031
"Berkeley",1957,NA,NA,0.007,0.028
"Berkeley",1958,NA,NA,0.002,0.027
"Berkeley",1959,NA,NA,0.002,0.026
"Berkeley",1960,NA,NA,-0.019,0.026
"Berkeley",1961,NA,NA,-0.001,0.021
"Berkeley",1962,NA,NA,0.017,0.018
"Berkeley",1963,NA,NA,0.004,0.016
"Berkeley",1964,NA,NA,-0.028,0.018
"Berkeley",1965,NA,NA,-0.006,0.017
"Berkeley",1966,NA,NA,-0.024,0.017
"Berkeley",1967,NA,NA,-0.041,0.019
"Berkeley",1968,NA,NA,-0.025,0.02
"Berkeley",1969,NA,NA,-0.019,0.024
