deid,subject,final_grade_percent,final_grade_letter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,age,gender
100701,biol,91.29,A,4,5,5,5,5,NA,5,5,5,5,21,Male
9693356,biol,93.56,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9749501,biol,73.81,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9690896,chem,32.33,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
100836,biol,75.59,C,5,5,5,5,5,NA,5,5,5,5,18,Male
9580374,nurs,NA,NA,3,2,2,3,3,4,3,NA,4,3,19,Female
9681482,biol,70.89,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9446837,chen,77.39,C,3,3,3,2,3,4,4,NA,3,4,NA,Female
9690654,biol,75.37,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9499752,biol,83.42,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9211624,eeb,83.17,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
NA,csci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9751445,phys,NA,NA,5,4,4,4,4,4,4,NA,4,4,19,Female
9681512,biol,78.57,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
102459,biol,91.38,A,4,3,4,3,5,4,4,4,4,3,17,Male
103347,biol,84.28853,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101439,biol,67.109,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102609,biol,88.79,B,3,3,3,2,2,2,2,3,4,3,30,Female
9381856,biol,95.48,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9613474,biol,97.74,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9609429,biol,79.47,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9711578,mats,46.96,F,5,5,4,4,4,4,4,NA,5,5,20,Female
9804673,phys,78.35,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
103446,biol,93.52857,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
102856,biol,89.55815,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9683211,biol,89.91,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
102107,biol,78.72,C,4,4,4,4,4,4,4,4,4,4,19,Male
9864816,math,60.33,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
100776,biol,94.16,A,4,5,5,4,NA,NA,4,4,4,5,19,Male
9409136,phys,47.43,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
103426,biol,84.73272,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9665235,mats,79.04,C,5,5,5,5,5,5,5,NA,5,5,19,Male
9131261,biol,87.07,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9664442,chem,81.42,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9823721,phys,78.39,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9617092,phys,61.98,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9288927,phys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
102586,biol,88.92,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100695,biol,88.91,B,4,5,4,4,5,NA,4,4,5,5,21,Female
101402,biol,83.017,B,4,4,4,4,4,4,4,3,5,4,18,Female
9557060,biol,78.97,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9826390,phys,67.27,D,3,3,3,4,4,4,3,NA,2,3,19,Male
102815,biol,85.8922,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
100658,biol,97.85909,A,4,4,4,4,4,4,4,4,4,4,21,Female
9607258,biol,84.14,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9809982,mats,68.03,D,5,5,5,5,4,5,5,NA,5,5,18,Male
9803829,math,53.25,F,3,3,3,4,4,3,2,NA,3,3,18,Female
9679154,csci,83.07,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9342559,biol,89.75,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9648921,biol,68.45,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Female
9544710,nurs,NA,NA,5,4,5,4,5,5,5,NA,5,5,20,Female
100315,biol,90,A,4,4,3,5,4,3,4,4,4,4,NA,Female
9692357,mats,84.64,B,4,4,4,4,4,5,4,NA,5,4,19,Male
9689638,biol,95.51,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9453692,chem,72.43,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
103320,biol,95.4165,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9542036,biol,81.01,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Female
9753268,phys,79.21,C,4,3,3,4,4,4,4,NA,5,5,19,Female
9698765,mats,82.84,B,5,4,4,5,5,4,5,NA,5,5,19,Male
9690568,phys,77.47,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
NA,nurs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9371239,eeb,93.59,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
101454,biol,83.263,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9607446,biol,85.84,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9694024,biol,55.19,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
NA,nurs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9586203,biol,81.02,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9306259,biol,75.52,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
102076,biol,92.25,A,3,4,4,3,3,4,5,4,5,3,19,Female
9051290,eeb,72.42,C,3,5,3,3,3,4,3,NA,4,3,23,Male
9578058,biol,82.96,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
102937,biol,82.87576,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9845335,phys,NA,NA,4,4,3,5,3,4,4,NA,4,5,21,Female
9706622,csci,93.16,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
100839,biol,90.88,A,4,4,4,4,3,NA,4,4,4,3,19,Female
9595876,biol,57.4,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9552640,biol,68.68,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
100502,biol,92.98523,A,3,3,2,4,3,3,4,4,4,3,18,Female
100813,biol,91.49,A,5,5,3,4,4,NA,3,4,5,4,18,Male
100854,biol,82.44,B,3,3,2,3,3,3,4,3,4,4,19,Female
102379,biol,93.1,A,5,5,5,5,5,5,5,5,5,5,NA,Female
9582783,phys,75.12,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
100534,biol,87.04154,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102324,biol,72.4,C,2,2,1,2,4,1,2,3,3,2,NA,Female
9518862,biol,77.08,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Female
102417,biol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9431561,biol,91.15,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Female
9670623,biol,83.58,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9777588,biol,75.16,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Female
100002,biol,62,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9803740,phys,77.26,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9827749,chem,68.72,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
